Date;text;approval_date
2017-03-24;today thrilled announce commitment billion k american jobs next years thank c today pleased announce official approval presidential permit keystonepipeline grea c irony freedom caucus pro life planned parenthood allows p p continue stop plan seven horrible years obamacare skyrocketing premiums deductibles bad healthcare finally chance great plan;41.81089
2017-03-25;thanks trump rallies today amazing support make america great watch judgejeanine foxnews tonight p obamacare explode get together piece together great healthcare plan people worry happy medalofhonorday heroes;41.55795
2017-03-26;democrats smiling c freedom caucus help club growth heritage saved planned parenthood ocare;41.20364
2017-03-27;general kelly great job border numbers way many even trying come anymore;40.63618
2017-03-28;fake news talk podesta ties russia covered foxnews money russia clinton sale uranium new era american energy madeintheusa watch honor welcome glfop whitehouse today vp pence attorney general sessions thank fo c failing nytimes would much better honest watch foxandfriends podesta russia big announcement ford today major investment made three michigan plants car companies coming back u jobs jobs jobs democrats make deal healthcare soon obamacare folds long worry good shape republican house freedom caucus able snatch defeat jaws victory many bad years ready win money bill hillary russian reset praise russia hillary podesta russian company trump russia story hoax maga house intelligence committee looking bill hillary deal allowed big uranium go russia russian speech;40.48179
2017-03-29;flotus melania honored stop women empowerment panel afternoon whitehouse c today eo established commission combating drug addiction opioid crisis watch listening session c people great country could see viciously inaccurately administration covered certain media remember failing nytimes apologized subscribers right election coverage wrong worse;40.54905
2017-03-30;job losses american companies must prepared look alternatives meeting next week china difficult one longer massive trade deficits repmarkmeadows jim jordan raul labrador repealandreplace obamacare repmarkmeadows jim jordan raul labrador would get board would great healthcare massive tax cuts reform repmarkmeadows jim jordan raul labrador would get board would great healthcare massive tax cuts reform great op ed repkenbuck looks like freedom caucus helping end obamacare failing nytimes disgraced media world gotten wrong two solid years change libel laws freedom caucus hurt entire republican agenda get team fast must fight dems today honored true american heroes first ever national vietnam war veterans day thankaveteran c;40.44848
2017-03-31;going defend industry create level playing field american worker time put c trump celebrates american manufacturing survey showing highest level optimism years c exciting time country weeklyaddress confirmgorsuch confirmgorsuch scotus great meeting wonderful woman today former secretary state condoleezza rice usa honor welcome prime minister denmark lars lokke rasmussen larsloekke whitehouse yes c mike flynn ask immunity witch hunt excuse big election loss media dems historic proportion enlisting full potential women society truly able makeamericagreatagain c;39.84783
2017-04-01;thank jclayfield get even better administration continues put americafirst associated russia trump team spied nominated true get much bigger would sad u wow foxnews reporting big news source official behind unmasking high known intel official responsible unmasked use subsidies buy health plans words ocare dead good things happen however either republicans dems failing nytimes finally gets places insurance company offers plans way obamacare customers fake news media said path victory trump pushing phony russia story total scam sleepy eyes chuck todd nbcnews start talking obama surveillance scandal stop fake trump russia story;40.01525
2017-04-02;real story turns surveillance leaking find leakers talks repealing replacing obamacare going continue time deal hopefully struck anybody especially fake news media thinks repeal replace obamacare dead know love strength r party;40.66016
